Trieda CK,číslo CK,identifikačné číslo DC,ID mosta,evidenčné číslo - staré,Stavebno-technický stav,správca DC (z aplikácie mosty),vlastnik DC (z aplikácie mosty),druh konštrukcie,materiál DC,zaťažiteľnosť normálna,zaťažiteľnost výhradná,zaťažiteľnosť výnimočná,spôsob stanovenia,predmet premostenia,Kraj (CK),Okres (CK),Spravca (CK),LongitudeE,LatitudeN,VyskaH
cesta I. triedy,2,M6131.01,M6131,011A,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,rámová,prefabrikovaný železobetón,21.0,71.0,504.0,projektovaná,,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.003032908,48.499879296,0.0
cesta I. triedy,2,M2128.01,M2128,12,Veľmi dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.003072509,48.499681704,159.119999
cesta I. triedy,2,M139.01,M139,13,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,prefabrikovaný predpätý betón,37.0,89.0,258.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.009922887,48.489033881,155.96025
cesta I. triedy,2,M3988.01,M3988,13,Bezchybný,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná dialnicná spolocnost, a.s.",trámová,monolitický predpätý betón,27.0,68.0,222.0,projektovaná,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",Bratislavský kraj,Bratislava V,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava",17.134619356,48.131135978,0.0
cesta I. triedy,2,M3021.01,M3021,14,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.012068791,48.485986971,154.750249
cesta I. triedy,2,M24.01,M24,15,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.012224814,48.440933137,160.031
cesta I. triedy,2,M65.01,M65,16,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.020628121,48.425106076,162.101999
cesta I. triedy,2,M2290.01,M2290,18,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.019061316,48.412613048,163.311749
cesta I. triedy,2,M2334.01,M2334,19,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,18.0,42.0,98.0,,Železnica,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.016530125,48.398454069,178.48325
cesta I. triedy,2,M5138.01,M5138,20,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,15.0,27.0,138.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.019896533,48.39305116,167.8405
cesta I. triedy,2,M616.01,M616,21,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.016902618,48.364202757,164.361
cesta I. triedy,2,M6907.01,M6907,22,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.019155983,48.346283788,164.347999
cesta I. triedy,2,M5555.01,M5555,24,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.023798066,48.326810205,176.6135
cesta I. triedy,2,M5509.01,M5509,25,Veľmi dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.029249805,48.318007888,177.103499
cesta I. triedy,2,M4332.01,M4332,26,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.031404597,48.288147531,169.082999
cesta I. triedy,2,M6110.01,M6110,28,Veľmi dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.031912319,48.274879854,178.77
cesta I. triedy,2,M3838.01,M3838,29,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.031948416,48.274517135,180.40325
cesta I. triedy,2,M2550.01,M2550,30,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,17.030527629,48.255456029,167.4535
cesta I. triedy,2,M2259.01,M2259,31,Uspokojivý,Magistrát hlavného mesta SR Bratislava,Bratislava,dosková,prefabrikovaný železobetón,31.8,88.2,156.0,projektovaná,Vodný tok,Bratislavský kraj,Bratislava IV,Magistrát hlavného mesta SR Bratislava,17.034100573,48.24924125,213.564499
cesta I. triedy,2,M3446.01,M3446,32,Zlý,Magistrát hlavného mesta SR Bratislava,Bratislava,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,Bratislavský kraj,Bratislava IV,Magistrát hlavného mesta SR Bratislava,17.034921066,48.241369836,215.326
cesta I. triedy,2,M7099.01,M7099,33,Zlý,Magistrát hlavného mesta SR Bratislava,Bratislava,klenbová,monolitický železobetón,43.2,86.4,195.7,projektovaná,Železnica,Bratislavský kraj,Bratislava IV,Magistrát hlavného mesta SR Bratislava,17.047198389,48.189058513,258.09325
cesta I. triedy,2,M6538.01,M6538,34,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,Bratislavský kraj,Bratislava IV,Magistrát hlavného mesta SR Bratislava,17.072509059,48.171003006,218.180999
cesta I. triedy,2,M4156.01,M4156,35,Uspokojivý,Magistrát hlavného mesta SR Bratislava,Bratislava,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,Bratislavský kraj,Bratislava IV,Magistrát hlavného mesta SR Bratislava,17.076409559,48.168776802,0.0
cesta I. triedy,2,M1920.01,M1920,040 1,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,37.0,81.0,312.0,projektovaná,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.103763044,48.130647403,184.601999
cesta I. triedy,2,M2301.01,M2301,040 2,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,37.0,78.0,317.0,projektovaná,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.106123715,48.132621202,182.698999
cesta I. triedy,2,M2027.01,M2027,046 1,Dobrý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná dialnicná spolocnost, a.s.",trámová,monolitický predpätý betón,27.0,68.0,198.0,projektovaná,Účelová komunikácia,Bratislavský kraj,Bratislava V,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava",17.133229135,48.130670373,191.37475
cesta I. triedy,2,M6994.01,M6994,47,Zlý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,28.0,57.0,57.0,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.130055519,48.12925187,0.0
cesta I. triedy,2,M7229.01,M7229,48,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný predpätý betón,32.0,129.0,266.0,porovnávací výpočet,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.129935117,48.127563995,184.274749
cesta I. triedy,2,M5333.01,M5333,49,Veľmi zlý,Magistrát hlavného mesta SR Bratislava,Bratislava,rámová,monolitický železobetón,41.0,82.0,336.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.131040629,48.125990691,0.0
cesta I. triedy,2,M1841.01,M1841,50,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný predpätý betón,31.0,124.0,251.0,porovnávací výpočet,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.128560492,48.112056877,186.91375
cesta I. triedy,2,M7651.01,M7651,51,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,53.0,89.0,428.0,,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.126073674,48.109148631,180.87175
cesta I. triedy,2,M626.01,M626,52,Uspokojivý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný predpätý betón,37.0,166.0,270.0,porovnávací výpočet,Kanál,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.121223223,48.100213801,181.89625
cesta I. triedy,2,M4655.01,M4655,53,Dobrý,Magistrát hlavného mesta SR Bratislava,Bratislava,dosková,prefabrikovaný predpätý betón,19.0,42.0,100.0,porovnávací výpočet,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.121154224,48.099330476,183.316
cesta I. triedy,2,M7468.01,M7468,54,Veľmi zlý,Magistrát hlavného mesta SR Bratislava,Bratislava,trámová,prefabrikovaný železobetón,29.0,60.0,0.0,podľa tabuliek,Miestna komunikácia,Bratislavský kraj,Bratislava V,Magistrát hlavného mesta SR Bratislava,17.120931869,48.096426792,179.405499
cesta I. triedy,2,M6998.01,M6998,122A,Nezistený,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná dialnicná spolocnost, a.s.",,,0.0,0.0,0.0,,,Bratislavský kraj,Bratislava IV,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava",17.076067394,48.148751341,158.45875
cesta I. triedy,11,M7242.01,M7242,3,Nezistený,"Žilinské komunikácie, a.s.",Žilinský samosprávny kraj,,,0.0,0.0,0.0,,Podchod pre chodcov,Žilinský kraj,Žilina,"Žilinské komunikácie, a.s.",18.737370837,49.232996624,0.0
cesta I. triedy,11,M6499.01,M6499,200,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,monolitický železobetón,12.0,29.0,187.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.781324783,49.491615851,451.880999
cesta I. triedy,11,M2061.01,M2061,202,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,oblúková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.794048493,49.479899075,430.79575
cesta I. triedy,11,M3917.01,M3917,203,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický železobetón,37.0,58.0,134.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.783305904,49.455058609,428.566999
cesta I. triedy,11,M5720.01,M5720,204,Veľmi zlý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický železobetón,13.0,22.0,113.0,odhadom,Železnica,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.781299568,49.451919144,430.3745
cesta I. triedy,11,M331.01,M331,206,Zlý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,monolitický železobetón,24.0,67.0,236.0,odhadom,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.789767168,49.440266018,415.303249
cesta I. triedy,11,M3289.01,M3289,208,Veľmi zlý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,prefabrikovaný predpätý betón,16.0,45.0,122.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.795975495,49.429738037,422.508499
cesta I. triedy,11,M2532.01,M2532,209,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný železobetón,30.0,76.0,239.0,projektovaná,Miestna komunikácia,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.799520991,49.428672502,412.9725
cesta I. triedy,11,M3828.01,M3828,210,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.809551024,49.429605785,407.543999
cesta I. triedy,11,M6402.01,M6402,211,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,klenbová,kameň,8.0,32.0,168.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.830074867,49.42454179,401.4655
cesta I. triedy,11,M2367.01,M2367,212,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný železobetón,27.0,75.0,232.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.833868149,49.425029796,403.8555
cesta I. triedy,11,M1812.01,M1812,213,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický železobetón,10.0,28.0,69.0,podľa tabuliek,Vodný tok,Žilinský kraj,Čadca,Slovenská správa ciest - IVSC Žilina,18.837121187,49.420416996,402.134999
cesta I. triedy,11,M3024.01,M3024,214,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.840345137,49.412183262,396.4455
cesta I. triedy,11,M2978.01,M2978,215,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.843185112,49.407280781,396.513999
cesta I. triedy,11,M99.01,M99,216,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Cestná komunikácia,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.841030714,49.399699126,404.46875
cesta I. triedy,11,M7227.01,M7227,217,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Miestna komunikácia,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.837550905,49.390312114,424.873749
cesta I. triedy,11,M5617.01,M5617,218,Zlý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,monolitický železobetón,19.0,48.0,118.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.841241127,49.380274885,401.225
cesta I. triedy,11,M2023.01,M2023,219,Dobrý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",klenbová,oceľ -  plnostenná,34.0,80.0,196.0,podľa tabuliek,Miestna komunikácia,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.840958842,49.376387372,385.695
cesta I. triedy,11,M2241.01,M2241,220,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",trámová,prefabrikovaný predpätý betón,26.0,64.0,157.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.840469287,49.374734822,382.9355
cesta I. triedy,11,M3378.01,M3378,221,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,Žilinský kraj,Čadca,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.833522312,49.36604809,379.70625
cesta I. triedy,11,M1392.01,M1392,226,Uspokojivý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,prefabrikovaný železobetón,20.0,64.0,157.0,podľa tabuliek,Vodný tok,Žilinský kraj,Kysucké Nové Mesto,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.810024818,49.344276524,369.171
cesta I. triedy,11,M7332.01,M7332,227,Dobrý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný železobetón,40.0,100.0,255.0,odhadom,Vodný tok,Žilinský kraj,Kysucké Nové Mesto,Slovenská správa ciest - IVSC Žilina,18.808000211,49.334585861,365.5365
cesta I. triedy,11,M115.01,M115,228,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný železobetón,36.0,84.0,216.0,podľa tabuliek,Vodný tok,Žilinský kraj,Kysucké Nové Mesto,Slovenská správa ciest - IVSC Žilina,18.803998092,49.314030217,359.630999
cesta I. triedy,11,M349.01,M349,229,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný predpätý betón,15.0,25.0,101.0,odhadom,Vodný tok,Žilinský kraj,Kysucké Nové Mesto,Slovenská správa ciest - IVSC Žilina,18.789231459,49.297463683,347.1045
cesta I. triedy,11,M309.01,M309,230,Dobrý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,Žilinský kraj,Kysucké Nové Mesto,Slovenská správa ciest - IVSC Žilina,18.763207295,49.276479973,345.379
cesta I. triedy,11,M4326.01,M4326,232,Zlý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",trámová,prefabrikovaný predpätý betón,25.0,75.0,229.0,podľa tabuliek,Železnica,Žilinský kraj,Žilina,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.753143306,49.268084431,352.018249
cesta I. triedy,11,M3188.01,M3188,233,Dobrý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,prefabrikovaný predpätý betón,48.0,94.0,300.0,porovnávací výpočet,"Vodný tok,  Vodný tok",Žilinský kraj,Žilina,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.750726831,49.257941389,0.0
cesta I. triedy,11,M7225.01,M7225,234,Dobrý,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná dialnicná spolocnost, a.s.",dosková,prefabrikovaný železobetón,30.0,65.0,90.0,porovnávací výpočet,"Vodný tok,  Vodný tok",Žilinský kraj,Žilina,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",18.740323462,49.243430786,0.0
cesta I. triedy,11,M6535.01,M6535,234A,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,dosková,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,"Cestná komunikácia,  Cestná komunikácia",Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.736034224,49.239254407,337.48075
cesta I. triedy,11,M4757.01,M4757,235,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.737078985,49.238094513,339.9465
cesta I. triedy,11,M6633.01,M6633,235A,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.737195512,49.238180707,340.247749
cesta I. triedy,11,M4439.01,M4439,235B,Nezistený,"Žilinské komunikácie, a.s.",Žilinský samosprávny kraj,dosková,monolitický železobetón,0.0,0.0,0.0,,,Žilinský kraj,Žilina,"Žilinské komunikácie, a.s.",18.737813406,49.236560511,334.876499
cesta I. triedy,11,M4627.01,M4627,236,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.736449746,49.234442568,334.31925
cesta I. triedy,11,M4789.01,M4789,236A,Veľmi dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.736604702,49.234413211,334.580249
cesta I. triedy,11,M6437.01,M6437,237,Dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,"Cestná komunikácia,  Cestná komunikácia",Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.731408921,49.230043295,0.0
cesta I. triedy,11,M5852.01,M5852,237 1,Dobrý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Iná prekážka,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.729881598,49.229540447,339.5255
cesta I. triedy,11,M2695.01,M2695,237A,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,prefabrikovaný predpätý betón,23.0,51.0,86.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.735476504,49.232509889,0.0
cesta I. triedy,11,M5802.01,M5802,238,Uspokojivý,Slovenská správa ciest - IVSC Žilina,Štát,trámová,prefabrikovaný predpätý betón,23.0,51.0,86.0,podľa tabuliek,Železnica,Žilinský kraj,Žilina,Slovenská správa ciest - IVSC Žilina,18.733864608,49.231167767,342.527
