Trieda PK,Číslo PK,Most /DC,Názov mosta,ID mosta,ID DC,správcovské číslo,Stavebno-technický stav,Longitude,Latitude,Vyska,Druh konštrukcie,Material,Normána zaťažiteľnost / t,Výhradná zaťažiteľnosť / t,Výnimočná zaťažiteľnosť / t,Spôsob stanovenie,Predmet premostenia,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia / m,Dĺžka nosnej konštrukcie / m,Volná šírka mosta/ m,Šírka medzi obrubami/ m,Pocha mosnej konštrukcie / m2,Plocha mosta / m2,Vlastník úseku,Správca úseku,Okres,Smer úseku,Typ úseku,Počiatočný uzol,Koncový uzol,úsek ID,úsekové staničenie začiatku DC / m,Kilometrovníkové staničenie začiatku DC / km,Kumulatívne staničenie začiatku DC / km,Poradie úsekov
cesta I. triedy,10,Most,18_245 Most cez Kolárovický potok pred obcou Kolárovice,M58,M58.01,245,Veľmi zlý,18.522760879,49.302362245,464.83,trámová,monolitický železobetón,10.0,23.0,130.0,podľa tabuliek,Vodný tok,1937.0,,1.0,9.2,,8.9,8.3,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07300,2542A07400,273351,7,19.066,19.059,33.0
cesta I. triedy,10,Most,10_246 Most cez Kolárovický potok pred obcou Kolárovice (I/18),M302,M302.01,246,Veľmi zlý,18.523002645,49.301202318,462.73725,trámová,monolitický železobetón,11.0,23.0,78.0,podľa tabuliek,Vodný tok,1937.0,,1.0,9.0,,9.0,8.7,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07300,2542A07400,273351,145,19.204,19.197,33.0
cesta I. triedy,10,Most,18_247 Most cez Kolárovický potok pred obcou Kolárovice,M4296,M4296.01,247,Uspokojivý,18.525948011,49.294396366,443.2225,trámová,monolitický železobetón,12.0,23.0,132.0,podľa tabuliek,Vodný tok,1937.0,,1.0,9.0,,9.0,8.2,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07300,2542A07400,273351,944,19.989,19.996,33.0
cesta I. triedy,10,Most,18_248 Most cez potok v obci Kolárovice,M4511,M4511.01,248,Dobrý,18.533917074,49.279956844,406.262,klenbová,monolitický prostý betón,21.0,54.0,184.0,podľa tabuliek,Vodný tok,1937.0,,1.0,4.1,,10.0,10.0,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07500,2542A07600,273353,7,21.729,21.736,35.0
cesta I. triedy,10,Most,18_249 Most cez potok v obci Kolárovice,M6965,M6965.01,249,Dobrý,18.535308101,49.269103664,383.947,klenbová,monolitický prostý betón,25.0,67.0,221.0,podľa tabuliek,Vodný tok,1937.0,,1.0,3.6,,8.6,8.6,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07500,2542A07600,273353,1212,22.931,22.941,35.0
cesta I. triedy,10,Most,18_250 Most cez kanál VE v Bytči,M2109,M2109.01,250,Dobrý,18.556957568,49.232268099,325.6735,oblúková,oceľ -  plnostenná,26.0,80.0,196.0,odhadom,Kanál,1991.0,,1.0,109.91,,11.5,11.5,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A13400,2542A09600,273444,23,27.575,27.57,42.0
cesta I. triedy,10,Most,18_251 Most cez rieku Váh v Bytči,M473,M473.01,251,Zlý,18.569622339,49.216389468,311.91125,dosková,iný materiál,32.0,80.0,196.0,projektovaná,Vodný tok,1951.0,,6.0,256.15,,9.5,9.5,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A03703,2542A00102,339945,20,29.504,29.405,67.0
cesta I. triedy,11,Most,Most cez bezmenný potok vo Svrčinovci,M6499,M6499.01,200,Uspokojivý,18.781324783,49.491615851,451.880999,dosková,monolitický železobetón,12.0,29.0,187.0,podľa tabuliek,Vodný tok,1953.0,,1.0,5.0,,12.0,12.0,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37200,2613A39201,194662,310,406.826,1.224,4.0
cesta I. triedy,11,Most,11_202 Most cez rieku Čerňanka v k.ú. obce Svrčinovec,M2061,M2061.01,202,Veľmi zlý,18.794048493,49.479899075,430.79575,oblúková,monolitický železobetón,14.0,49.0,100.0,statický výpočet podľa TP 02/2016,Vodný tok,1931.0,,1.0,32.0,,6.5,6.5,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37600,2613A37700,194666,57,408.504,2.76,23.0
cesta I. triedy,11,Most,"11_203 Most cez potok Čadečka, Čadca, osada Podzávod",M3917,M3917.01,203,Zlý,18.783305904,49.455058609,428.566999,trámová,monolitický železobetón,37.0,58.0,134.0,podľa tabuliek,Vodný tok,1951.0,,1.0,13.4,,11.0,9.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A16300,2613A16400,194286,169,411.495,5.771,36.0
cesta I. triedy,11,Most,Most ev.č. 11-204 na ceste I/11,M9892,M9892.01,,Nezistený,18.7812,49.45188,431.74,trámová,spriahnutá oceľ-betón,32.0,80.0,196.0,projektovaná,Železnica,2020.0,,2.0,57.825,,15.64,12.19,,722.33,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A08900,2613A00601,194212,29,411.877,6.165,41.0
cesta I. triedy,11,Most,Most na privádzači Čadca,M6064,M6064.01,001A,Bezchybný,18.792849834,49.439759142,426.30375,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,10.0,327.89,,15.7,12.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A03900,2613A38500,8695,79,413.514,7.804,54.0
cesta I. triedy,11,Most,Most na privádzači Čadca,M6064,M6064.01,001A,Bezchybný,18.792849834,49.439759142,426.30375,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,10.0,327.89,,15.7,12.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A38500,2613B00300,603302,0,413.706,7.996,55.0
cesta I. triedy,11,Most,"11_208 Most cez rieku Kysuca, trať ŽSR a areál ČOV v Čadci",M9678,M9678.01,11-208,Bezchybný,18.79586,49.42975,0.0,trámová,spriahnutá oceľ-betón,32.0,80.0,196.0,statický výpočet,"Železnica,  Vodný tok,  Iná prekážka",2017.0,LM1.LM2.LM3,7.0,263.4,267.0,11.5,11.5,3912.0,3990.51,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04002,2613A35601,992026,102,414.658,8.981,73.0
cesta I. triedy,11,Most,11_209 Most nad MK v meste Čadca,M2532,M2532.01,209,Veľmi dobrý,18.799520991,49.428672502,412.9725,dosková,prefabrikovaný železobetón,30.0,76.0,239.0,projektovaná,Miestna komunikácia,1970.0,,1.0,6.0,,12.71,10.5,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04002,2613A35601,992026,508,415.064,9.387,73.0
cesta I. triedy,11,Most,11_210 Most cez bezmenný potok v obci Horelica,M3828,M3828.01,210,Uspokojivý,18.809551024,49.429605785,407.543999,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,Vodný tok,1934.0,,1.0,3.0,,7.6,6.6,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A36100,2613A36200,194641,5,415.764,10.125,79.0
cesta I. triedy,11,Most,11_211 Most cez bezmenný potok v obci Horelica,M6402,M6402.01,211,Uspokojivý,18.830074867,49.42454179,401.4655,klenbová,kameň,8.0,32.0,168.0,podľa tabuliek,Vodný tok,1934.0,,1.0,2.6,,8.0,8.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37000,2613A04101,194650,245,417.772,12.105,88.0
cesta I. triedy,11,Most,11_212 Most cez potok Jasný v obci Horelica,M2367,M2367.01,212,Uspokojivý,18.833868149,49.425029796,403.8555,dosková,prefabrikovaný železobetón,27.0,75.0,232.0,podľa tabuliek,Vodný tok,1953.0,,1.0,7.0,,11.0,10.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A37000,2613A04101,194650,529,418.056,12.389,88.0
cesta I. triedy,11,Most,11_213 Most cez potok Oščadnica v k.ú. obce Oščadnica,M1812,M1812.01,213,Zlý,18.837121187,49.420416996,402.134999,trámová,monolitický železobetón,10.0,28.0,69.0,podľa tabuliek,Vodný tok,1938.0,,1.0,26.0,,7.5,6.5,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04102,2613A34300,212359,182,418.681,13.006,90.0
cesta I. triedy,11,Most,Most cez bezmenný potok v Oščadnici,M3024,M3024.01,214,Uspokojivý,18.840345137,49.412183262,396.4455,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,1984.0,,1.0,6.3,,11.5,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04200,2613A03301,8952,200,419.661,14.001,94.0
cesta I. triedy,11,Most,Most cez bezmenný potok v Krásne nad Kysucou,M2978,M2978.01,215,Uspokojivý,18.843185112,49.407280781,396.513999,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,1984.0,,1.0,6.3,,11.5,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A04200,2613A03301,8952,783,420.244,14.584,94.0
cesta I. triedy,11,Most,Estakáda v Krásne nad Kysucou,M99,M99.01,216,Uspokojivý,18.841030714,49.399699126,404.46875,dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Cestná komunikácia,1983.0,,8.0,321.88,,13.36,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A03302,2613A25702,2119,32,420.964,15.298,112.0
cesta I. triedy,11,Most,Most ponad úbočnicovú strž v Krásne nad Kysucou,M7227,M7227.01,217,Uspokojivý,18.837550905,49.390312114,424.873749,dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Miestna komunikácia,1983.0,,3.0,86.7,,12.87,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A03302,2613A25702,2119,1245,422.128,16.511,112.0
cesta I. triedy,11,Most,Predĺženie klenbového mosta v Krásne nad Kysucou,M5617,M5617.01,218,Zlý,18.841241127,49.380274885,401.225,dosková,monolitický železobetón,19.0,48.0,118.0,projektovaná,Vodný tok,1984.0,,1.0,3.7,,41.6,33.0,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A25702,2631A12100,194493,108,423.342,17.707,113.0
cesta I. triedy,11,Most,Podchod pre peších v Krásne nad Kysucou,M2023,M2023.01,219,Dobrý,18.840958842,49.376387372,385.695,klenbová,oceľ -  plnostenná,34.0,80.0,196.0,podľa tabuliek,Miestna komunikácia,1984.0,,1.0,4.02,,13.0,13.0,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A25702,2631A12100,194493,543,423.806,18.142,113.0
cesta I. triedy,11,Most,"Most cez potok ""U Blažkov""v Krásne nad Kysucou",M2241,M2241.01,220,Uspokojivý,18.840469287,49.374734822,382.9355,trámová,prefabrikovaný predpätý betón,26.0,64.0,157.0,projektovaná,Vodný tok,1984.0,,1.0,6.76,,12.5,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A25702,2631A12100,194493,730,423.993,18.329,113.0
cesta I. triedy,11,Most,"Most cez potok ""U Drozdov"" v Krásne nad Kysucou",M3378,M3378.01,221,Uspokojivý,18.833522312,49.36604809,379.70625,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,1984.0,,1.0,8.26,,11.5,11.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A25702,2631A12100,194493,1831,425.061,19.43,113.0
cesta I. triedy,11,Most,Most cez bezmenný potok v Kysuckom Lieskovci,M1392,M1392.01,226,Uspokojivý,18.810024818,49.344276524,369.171,dosková,prefabrikovaný železobetón,20.0,64.0,157.0,podľa tabuliek,Vodný tok,1971.0,,1.0,4.0,,11.5,10.5,,,NDS,NDS - SSUR CA,Kysucké Nové Mesto,oba smery trasy CK,medzikrižovatkový,2631A07302,2631A00501,2130,967,428.553,22.87,117.0
cesta I. triedy,11,Most,11_227 Most cez potok Lodnianka v Kysuckom Lieskovci,M7332,M7332.01,227,Zlý,18.808000211,49.334585861,365.5365,dosková,prefabrikovaný železobetón,40.0,100.0,255.0,odhadom,Vodný tok,1971.0,,1.0,8.0,,12.25,10.5,,,STAT,SSC - IVSC ZA,Kysucké Nové Mesto,oba smery trasy CK,medzikrižovatkový,2631A27400,2631A27500,327902,19,429.582,23.955,124.0
cesta I. triedy,11,Most,11_228 Most cez Povinský potok v obci Povina,M115,M115.01,228,Bezchybný,18.803998092,49.314030217,359.630999,dosková,prefabrikovaný železobetón,36.0,84.0,216.0,podľa tabuliek,Vodný tok,1971.0,,1.0,9.12,10.715,14.5,10.5,,,STAT,SSC - IVSC ZA,Kysucké Nové Mesto,oba smery trasy CK,medzikrižovatkový,2631A27800,2631A00800,327906,9,431.991,26.332,128.0
cesta I. triedy,11,Most,11_229 Most cez Vadičovský potok v obci Radoľa,M349,M349.01,229,Veľmi zlý,18.789231459,49.297463683,347.1045,dosková,prefabrikovaný predpätý betón,15.0,25.0,101.0,odhadom,Vodný tok,1971.0,,1.0,15.4,,12.25,10.5,,,STAT,SSC - IVSC ZA,Kysucké Nové Mesto,oba smery trasy CK,lúč,2631A00901,2631A00905,327896,31,434.153,28.476,135.0
cesta I. triedy,11,Most,11_230 Most cez potok Snežnica v obci Oškerda,M309,M309.01,230,Uspokojivý,18.763207295,49.276479973,345.379,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,1988.0,,1.0,10.84,,12.92,11.5,,,STAT,SSC - IVSC ZA,Kysucké Nové Mesto,oba smery trasy CK,medzikrižovatkový,2631A21100,2631B00300,327839,7,437.176,31.541,144.0
cesta I. triedy,11,Most,11_230 Most cez potok Snežnica v obci Oškerda,M309,M309.01,230,Uspokojivý,18.763207295,49.276479973,345.379,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,1988.0,,1.0,10.84,,12.92,11.5,,,STAT,SSC - IVSC ZA,Žilina,oba smery trasy CK,medzikrižovatkový,2631B00300,2631A36200,8632,0,437.179,31.544,145.0
cesta I. triedy,11,Most,Most nad železnicou pred obcou Brodno,M4326,M4326.01,232,Uspokojivý,18.753143306,49.268084431,352.018249,trámová,prefabrikovaný predpätý betón,25.0,75.0,229.0,podľa tabuliek,Železnica,1967.0,,3.0,59.9,,13.5,11.0,,,NDS,NDS - SSUR CA,Žilina,oba smery trasy CK,medzikrižovatkový,2631B00500,2631A41300,8633,453,438.496,32.876,147.0
cesta I. triedy,11,Most,Most cez Brodňanský potok,M3188,M3188.01,233,Dobrý,18.750726831,49.257941389,0.0,dosková,prefabrikovaný predpätý betón,48.0,94.0,300.0,porovnávací výpočet,"Vodný tok,  Vodný tok",1980.0,,1.0,13.55,,12.4,10.25,,,NDS,NDS - SSUR CA,Žilina,v smere trasy CK,medzikrižovatkový,2631A02900,2631A01710,2681,481,439.527,33.906,149.0
cesta I. triedy,11,Most,Most cez Makovský potok,M7225,M7225.01,234,Dobrý,18.740323462,49.243430786,0.0,dosková,prefabrikovaný železobetón,30.0,65.0,90.0,porovnávací výpočet,"Vodný tok,  Vodný tok",1980.0,,1.0,5.26,,12.4,10.25,,,NDS,NDS - SSUR CA,Žilina,v smere trasy CK,medzikrižovatkový,2631A01714,2631B00401,874724,381,441.245,35.62,160.0
cesta I. triedy,11,Most,11_234A Most nad cestou II_507 v Budatíne,M6535,M6535.01,234A,Veľmi dobrý,18.736034224,49.239254407,337.48075,dosková,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,"Cestná komunikácia,  Cestná komunikácia",2004.0,,3.0,33.71,,10.55,10.55,,,STAT,SSC - IVSC ZA,Žilina,v smere trasy CK,lúč,2631A00301,2631A00302,8456,81,441.799,36.174,162.0
cesta I. triedy,11,Most,11_235 Most nad železnicou a MK v obci Budatín,M4757,M4757.01,235,Veľmi dobrý,18.737078985,49.238094513,339.9465,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,1962.0,,5.0,63.8,,11.75,11.75,,,STAT,SSC - IVSC ZA,Žilina,v smere trasy CK,medzikrižovatkový,2631A00302,2631A00401,9319,19,441.938,36.313,169.0
cesta I. triedy,11,Most,Pracovný názov: 11_235B Žilina,M4439,M4439.01,235B,Nezistený,18.73781,49.23656,334.88,dosková,monolitický železobetón,0.0,0.0,0.0,(neznámy),,2005.0,,0.0,,,8.0,,,,STAT,SSC - IVSC ZA,Žilina,v smere trasy CK,lúč,2631A00401,2631A00410,9320,25,442.133,36.508,170.0
cesta I. triedy,11,Most,11_236 Most cez rieku Váh -pravý v Žiline,M4627,M4627.01,236,Veľmi dobrý,18.736449746,49.234442568,334.31925,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2000.0,,3.0,132.83,,13.5,11.5,,,STAT,SSC - IVSC ZA,Žilina,v smere trasy CK,medzikrižovatkový,2631A00411,2631A06101,458106,13,442.339,36.714,179.0
cesta I. triedy,11,Most,11_236A Most cez rieku Váh -ľavý v Žiline,M4789,M4789.01,236A,Veľmi dobrý,18.736604702,49.234413211,334.580249,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1956.0,,3.0,119.1,,12.47,11.94,,,STAT,SSC - IVSC ZA,Žilina,proti smeru trasy CK,medzikrižovatkový,2631A06104,2631A00402,8976,0,442.465,36.843,180.0
cesta I. triedy,11,Most,Pracovný názov: 11_235B Žilina,M4439,M4439.01,235B,Nezistený,18.73781,49.23656,334.88,dosková,monolitický železobetón,0.0,0.0,0.0,(neznámy),,2005.0,,0.0,,,8.0,,,,STAT,SSC - IVSC ZA,Žilina,proti smeru trasy CK,lúč,2631A00402,2631A00403,8977,177,442.154,36.532,181.0
cesta I. triedy,11,Most,11_235A Most nad železnicou a MK v Budatíne,M6633,M6633.01,235A,Veľmi dobrý,18.737195512,49.238180707,340.247749,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,2004.0,,5.0,71.3,,11.75,11.75,,,STAT,SSC - IVSC ZA,Žilina,proti smeru trasy CK,medzikrižovatkový,2631A00403,2631A00307,9318,147,441.994,36.372,182.0
cesta I. triedy,11,Most,11_234A Most nad cestou II_507 v Budatíne,M6535,M6535.01,234A,Veľmi dobrý,18.736034224,49.239254407,337.48075,dosková,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,"Cestná komunikácia,  Cestná komunikácia",2004.0,,3.0,33.71,,10.55,10.55,,,STAT,SSC - IVSC ZA,Žilina,proti smeru trasy CK,lúč,2631A00307,2631A00303,456436,77,441.834,36.212,183.0
cesta I. triedy,11,Most,Most cez Makovský potok,M7225,M7225.01,234,Dobrý,18.740323462,49.243430786,0.0,dosková,prefabrikovaný železobetón,30.0,65.0,90.0,porovnávací výpočet,"Vodný tok,  Vodný tok",1980.0,,1.0,5.26,,12.4,10.25,,,NDS,NDS - SSUR CA,Žilina,proti smeru trasy CK,medzikrižovatkový,2631B00402,2631A01718,8551,329,441.263,35.641,186.0
cesta I. triedy,11,Most,Most cez Brodňanský potok,M3188,M3188.01,233,Dobrý,18.750726831,49.257941389,0.0,dosková,prefabrikovaný predpätý betón,48.0,94.0,300.0,porovnávací výpočet,"Vodný tok,  Vodný tok",1980.0,,1.0,13.55,,12.4,10.25,,,NDS,NDS - SSUR CA,Žilina,proti smeru trasy CK,medzikrižovatkový,2631A01704,2631A02900,2683,701,439.545,33.932,191.0
cesta I. triedy,11a,Most,Most na privádzači Čadca,M6064,M6064.01,001A,Bezchybný,18.792849834,49.439759142,426.30375,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,10.0,327.89,,15.7,12.5,,,NDS,NDS - SSUR CA,Čadca,oba smery trasy CK,medzikrižovatkový,2613A38500,2613A41103,603297,0,414.644,0.0,1.0
cesta I. triedy,11a,Most,Most nad Bukovským potokom,M7120,M7120.01,001C,Bezchybný,18.798300962,49.438650678,418.577,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,4.0,154.3,,10.92,9.2,,,NDS,NDS - SSUR CA,Čadca,v smere trasy CK,lúč,2613A41101,2613A41104,1220361,0,414.721,0.077,2.0
cesta I. triedy,11a,Most,Most pri Kysuci,M1893,M1893.01,001D,Bezchybný,18.799269331,49.436110838,421.01575,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,,1998.0,,0.0,431.25,,11.75,11.75,,,NDS,NDS - SSUR CA,Čadca,v smere trasy CK,lúč,2613A41101,2613A41104,1220361,68,414.789,0.145,2.0
cesta I. triedy,11a,Most,Most na privádzači Čadca,M6064,M6064.01,001A,Bezchybný,18.792849834,49.439759142,426.30375,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,10.0,327.89,,15.7,12.5,,,NDS,NDS - SSUR CA,Čadca,"neaplikovateľný, nepoužiteľný",vetva,2613A41103,2613A41101,1220371,0,,,3.0
cesta I. triedy,11a,Most,Most na vetve križovatky Čadca - Žilina,M7333,M7333.01,001B,Bezchybný,18.796393617,49.439581635,424.910749,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,2004.0,,6.0,199.7,,11.95,9.2,,,NDS,NDS - SSUR CA,Čadca,"neaplikovateľný, nepoužiteľný",vetva,2613A41103,2613A41101,1220371,57,,,3.0
cesta I. triedy,11a,Most,Most nad Bukovským potokom,M7120,M7120.01,001C,Bezchybný,18.798300962,49.438650678,418.577,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2004.0,,4.0,154.3,,10.92,9.2,,,NDS,NDS - SSUR CA,Čadca,"neaplikovateľný, nepoužiteľný",vetva,2613A41103,2613A41101,1220371,256,,,3.0
cesta I. triedy,11a,Most,"D3 Úprava most Kysuca v km 37,037-37,150",M9875,M9875.01,,Nezistený,18.78722,49.44241,,trámová,prefabrikovaný železobetón,0.0,0.0,0.0,(neznámy),Vodný tok,2020.0,,1.0,113.0,,2.6,,,,NDS,NDS - SSUR CA,Čadca,proti smeru trasy CK,lúč,2613A41104,2613A41102,1220368,0,414.9,0.208,4.0
