Trieda CK,Číslo CK,Pôvodné číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer_úseku,Typ_úseku,Vlastník CK,Typ správcu CK,Správca CK,Kraj,Okres,Pokračovanie,Poradie,Usek ID,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku - DC,Kumulatívne staničenie začiatku - DC,Kilometrovníkové staničenie začiatku - UZLA,Kumulatívne staničenie začiatku -UZLA
cesta I. triedy,2,,34,M6538,,,1978.0,,,1.0,4.06,,35.5,20.0,,,Dobrý,17.072509059,48.171003006,218.180999,Magistrát hl. m. SR Bratislavy,Bratislava,4.06,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,oba smery trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,7.0,2,526578,4422A50001,4422A50002,39,1,79.349,79545,79348.0,79544
cesta I. triedy,2,,35,M4156,,,1979.0,,,1.0,6.9,,11.0,11.0,,,Uspokojivý,17.076409559,48.168776802,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,6.9,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,proti smeru trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,9.0,1,505751,4424A00105,4422A05700,350,224,79.754,79950,79880.0,80076
cesta I. triedy,2,,122A,M6998,Pracovný názov: 02_122A Zjazd z mosta Lafranconi BA,,1000.0,,,0.0,,,,,,,Nezistený,17.076067394,48.148751341,158.45875,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná diaľničná spoločnosť, a.s.",,,,0.0,0.0,0.0,,,"neaplikovateľný, nepoužiteľný",vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,10.0,10,8817,4424A00409,4424A00413,276,0,82.143,82351,80728.0,0
cesta I. triedy,2,,040 2,M2301,,,1990.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,17.106123715,48.132621202,182.698999,Magistrát hl. m. SR Bratislavy,Bratislava,6.76,trámová,prefabrikovaný železobetón,37.0,78.0,317.0,projektovaná,Miestna komunikácia,"neaplikovateľný, nepoužiteľný",vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,24,7572,4424A05516,4424A05515,57,33,,33,83294.0,0
cesta I. triedy,2,,040 1,M1920,,,1989.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,17.103763044,48.130647403,184.601999,Magistrát hl. m. SR Bratislavy,Bratislava,6.76,trámová,prefabrikovaný železobetón,37.0,81.0,312.0,projektovaná,Miestna komunikácia,"neaplikovateľný, nepoužiteľný",vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,29,7580,4424A05518,4424A05505,118,51,,51,83294.0,0
cesta I. triedy,2,,001C,M3973,,,1986.0,,,14.0,465.99,,9.0,9.0,,,Zlý,17.131347012,48.130576842,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,465.99,trámová,prefabrikovaný predpätý betón,27.0,57.0,95.0,porovnávací výpočet,"Cestná komunikácia,  Cestná komunikácia",v smere trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,47,9451,4424A00503,4424A00510,471,338,85.045,85241,84903.0,84903
cesta I. triedy,2,,13,M3988,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,,1983.0,,,7.0,231.07,,9.0,9.0,,,Bezchybný,17.134619356,48.131135978,0.0,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná diaľničná spoločnosť, a.s.",231.07,trámová,monolitický predpätý betón,27.0,68.0,222.0,projektovaná,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",v smere trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,48,8610,4424A00510,4424A00513,437,0,85.615,85811,85374.0,85374
cesta I. triedy,2,,47,M6994,,,1985.0,,,1.0,5.61,,12.0,10.2,,,Zlý,17.130055519,48.12925187,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,trámová,prefabrikovaný železobetón,28.0,57.0,57.0,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",v smere trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,1,9443,4424A00505,4424A02801,19,99,87.88,86295,86233.0,86233
cesta I. triedy,2,,48,M7229,,,1985.0,,,4.0,108.95,,11.5,10.5,,,Dobrý,17.129935117,48.127563995,184.274749,Magistrát hl. m. SR Bratislavy,Bratislava,108.95,trámová,prefabrikovaný predpätý betón,32.0,129.0,266.0,porovnávací výpočet,Miestna komunikácia,v smere trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,2,7598,4424A02801,4424A02802,325,131,88.012,86383,86252.0,86252
cesta I. triedy,2,,50,M1841,,,1985.0,,,4.0,107.96,,11.5,10.5,,,Dobrý,17.128560492,48.112056877,186.91375,Magistrát hl. m. SR Bratislavy,Bratislava,107.96,trámová,prefabrikovaný predpätý betón,31.0,124.0,251.0,porovnávací výpočet,Miestna komunikácia,v smere trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,19,7226,4424A02401,4424A02402,618,318,89.965,88336,88018.0,88018
cesta I. triedy,2,,49,M5333,,,1985.0,,,1.0,5.61,,10.2,10.2,,,Veľmi zlý,17.131040629,48.125990691,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,rámová,monolitický železobetón,41.0,82.0,336.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",proti smeru trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,16.0,5,52450,4424A52304,4424A02809,290,224,88.251,86666,13851.0,86890
cesta I. triedy,2,,51,M7651,,,1985.0,,,1.0,4.38,,21.5,21.5,,,Dobrý,17.126073674,48.109148631,180.87175,Magistrát hl. m. SR Bratislavy,Bratislava,4.38,trámová,prefabrikovaný železobetón,53.0,89.0,428.0,,Miestna komunikácia,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,1,433880,4424A02405,4424A17800,1079,73,90.386,88757,88684.0,88684
cesta I. triedy,2,,52,M626,,,1983.0,,,1.0,37.99,,21.5,20.5,,,Uspokojivý,17.121223223,48.100213801,181.89625,Magistrát hl. m. SR Bratislavy,Bratislava,37.99,trámová,prefabrikovaný predpätý betón,37.0,166.0,270.0,porovnávací výpočet,Kanál,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,2,425467,4424A17800,4424A02201,187,49,91.441,89812,89763.0,89763
cesta I. triedy,2,,53,M4655,,,1984.0,,,3.0,41.66,,22.5,22.5,,,Dobrý,17.121154224,48.099330476,183.316,Magistrát hl. m. SR Bratislavy,Bratislava,41.66,dosková,prefabrikovaný predpätý betón,19.0,42.0,100.0,porovnávací výpočet,Miestna komunikácia,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,2,425467,4424A17800,4424A02201,187,145,91.537,89908,89763.0,89763
cesta I. triedy,2,,54,M7468,,,1986.0,,,1.0,5.61,,23.9,10.4,,,Veľmi zlý,17.120931869,48.096426792,179.405499,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,trámová,prefabrikovaný železobetón,29.0,60.0,0.0,podľa tabuliek,Miestna komunikácia,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,16,7616,4424A02202,4424A18800,199,164,91.876,90247,90083.0,90083
cesta I. triedy,9,50,69,M4380,"50_069 Most cez Žitkovský potok, k.ú. Drietoma",,1976.0,,,1.0,8.25,,9.8,8.75,,,Dobrý,17.912148936,48.946808241,313.224,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Trenčín","Národná diaľničná spoločnosť, a.s.",8.25,trámová,prefabrikovaný železobetón,36.0,86.0,252.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,NDS,NDS,NDS - SSUD TN,Trenčianský kraj,Trenčín,0.0,0,6875,3512A01000,3512A00601,1286,1257,101.635,1257,100448.0,0
cesta I. triedy,9,50,70,M7552,"50_070 Most cez potok Drietomica, k.ú. Drietoma",,1976.0,,,1.0,9.3,,9.95,8.85,,,Dobrý,17.922399455,48.94537573,297.516499,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Trenčín","Národná diaľničná spoločnosť, a.s.",9.3,dosková,prefabrikovaný predpätý betón,26.0,58.0,306.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,NDS,NDS,NDS - SSUD TN,Trenčianský kraj,Trenčín,0.0,2,6880,3512A00602,3512A00700,2549,589,102.439,2061,101850.0,1472
cesta I. triedy,9,50,71,M3015,"50_071 Most cez potok Drietomica, k.ú. Drietoma",,1976.0,,,1.0,12.7,,9.45,8.35,,,Zlý,17.929250183,48.941527915,295.96675,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Trenčín","Národná diaľničná spoločnosť, a.s.",12.7,dosková,prefabrikovaný predpätý betón,25.0,59.0,178.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,NDS,NDS,NDS - SSUD TN,Trenčianský kraj,Trenčín,0.0,2,6880,3512A00602,3512A00700,2549,1250,103.174,2722,101850.0,1472
cesta I. triedy,9,50,72,M109,"50_072 Most cez horskú bystrinu, k.ú. Drietoma",,1930.0,,,1.0,3.5,,10.4,,,,Dobrý,17.941413908,48.934313254,284.7145,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Trenčín","Národná diaľničná spoločnosť, a.s.",3.5,dosková,monolitický železobetón,10.0,35.0,283.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,NDS,NDS,NDS - SSUD TN,Trenčianský kraj,Trenčín,0.0,2,6880,3512A00602,3512A00700,2549,2509,104.433,3981,101850.0,1472
