Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie,Usek,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku,Kumulatívne staničenie začiatku
cesta I. triedy,2,011A,M6131,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",,1975.0,,,2.0,4.55,,10.5,7.8,,,Dobrý,17.003032908,48.499879296,0.0,Slovenská správa ciest - IVSC Bratislava,Štát,4.55,rámová,prefabrikovaný železobetón,21.0,71.0,504.0,projektovaná,,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,41.0,426555.0,3444A11800,3444A11900,113.0,80,40.678,40689.0
cesta I. triedy,2,12,M2128,02_012 Most cez potok za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.5,9.5,,,Veľmi dobrý,17.003072509,48.499681704,159.119999,Slovenská správa ciest - IVSC Bratislava,Štát,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,41.0,426555.0,3444A11800,3444A11900,113.0,103,40.701,40712.0
cesta I. triedy,2,13,M139,02_013 Most cez potok Rudava,,1977.0,,,1.0,12.9,,10.5,9.5,,,Uspokojivý,17.009922887,48.489033881,155.96025,Slovenská správa ciest - IVSC Bratislava,Štát,12.9,trámová,prefabrikovaný predpätý betón,37.0,89.0,258.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,45.0,426559.0,3444A12200,3444A12300,479.0,434,42.044,42004.0
cesta I. triedy,2,14,M3021,02_014 Most cez kanál za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.3,9.5,,,Dobrý,17.012068791,48.485986971,154.750249,Slovenská správa ciest - IVSC Bratislava,Štát,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,46.0,426560.0,3444A12300,3444A12400,2101.0,335,42.424,42384.0
cesta I. triedy,2,15,M24,02_015 Most cez potok Malina v Malackách,,1938.0,,,1.0,9.5,,8.0,6.0,,,Uspokojivý,17.012224814,48.440933137,160.031,Slovenská správa ciest - IVSC Bratislava,Štát,9.5,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,60.0,426574.0,3444A13700,3444A13800,141.0,117,47.441,47422.0
cesta I. triedy,2,16,M65,02_016 2.Most cez potok Malina v Malackách,,1934.0,,,1.0,7.45,,7.65,7.65,,,Uspokojivý,17.020628121,48.425106076,162.101999,Slovenská správa ciest - IVSC Bratislava,Štát,7.45,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,76.0,426591.0,3444A14600,3444A14700,252.0,145,49.442,49450.0
cesta I. triedy,2,18,M2290,02_018 Most cez jarok Balážka v obci Malacky,,1934.0,,,1.0,2.95,,7.45,7.45,,,Dobrý,17.019061316,48.412613048,163.311749,Slovenská správa ciest - IVSC Bratislava,Štát,2.95,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,80.0,426595.0,3444A15000,3444A15100,1691.0,294,50.7,50822.0
cesta I. triedy,2,19,M2334,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,,1934.0,,,3.0,32.6,,7.35,5.85,,,Dobrý,17.016530125,48.398454069,178.48325,Slovenská správa ciest - IVSC Bratislava,Štát,32.6,trámová,monolitický železobetón,18.0,42.0,98.0,,Železnica,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,81.0,426596.0,3444A15100,3444A15200,605.0,264,52.479,52483.0
cesta I. triedy,2,20,M5138,02_020 Most cez potok Hlavina,,1934.0,,,1.0,6.0,,8.0,7.2,,,Uspokojivý,17.019896533,48.39305116,167.8405,Slovenská správa ciest - IVSC Bratislava,Štát,6.0,dosková,monolitický železobetón,15.0,27.0,138.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,82.0,426597.0,3444A15200,3444A15300,990.0,331,53.146,53155.0
cesta I. triedy,2,21,M616,02_021 Most cez potok Štum,,1934.0,,,1.0,4.15,,8.35,8.35,,,Dobrý,17.016902618,48.364202757,164.361,Slovenská správa ciest - IVSC Bratislava,Štát,4.15,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,86.0,426497.0,3444A09700,3444A03700,529.0,219,56.287,56400.0
cesta I. triedy,2,22,M6907,02_022 Most cez potok Frikav v k. ú. obce Lozorno,,1934.0,,,1.0,4.0,,8.1,7.8,,,Dobrý,17.019155983,48.346283788,164.347999,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,89.0,429544.0,3444A22900,4422A02200,1956.0,11,58.324,58434.0
cesta I. triedy,2,24,M5555,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,,1973.0,,,3.0,59.9,,13.0,10.5,,,Uspokojivý,17.023798066,48.326810205,176.6135,Slovenská správa ciest - IVSC Bratislava,Štát,59.9,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,0.0,lúč,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,94.0,6671.0,4422A00107,4422A00113,157.0,72,60.868,60917.0
cesta I. triedy,2,25,M5509,02_025 Most cez Lozorňanský potok,,1972.0,,,1.0,5.0,,11.5,10.5,,,Veľmi dobrý,17.029249805,48.318007888,177.103499,Slovenská správa ciest - IVSC Bratislava,Štát,5.0,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,99.0,6298.0,4422A00200,4422A25500,1272.0,823,62.231,62227.0
cesta I. triedy,2,26,M4332,02_026 Most cez zátokové územie pred Stupavou,,1927.0,,,1.0,2.2,,7.85,7.65,,,Dobrý,17.031404597,48.288147531,169.082999,Slovenská správa ciest - IVSC Bratislava,Štát,2.2,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,103.0,426537.0,4422A25800,4422A25900,1743.0,1553,65.608,65606.0
cesta I. triedy,2,28,M6110,02_028 Most cez potok v Stupave,,1966.0,,,1.0,5.9,,14.0,10.0,,,Veľmi dobrý,17.031912319,48.274879854,178.77,Slovenská správa ciest - IVSC Bratislava,Štát,5.9,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,110.0,6300.0,4422A02400,4422A27300,242.0,210,67.106,67108.0
cesta I. triedy,2,29,M3838,02_029 Most cez mlynský náhon v obci Stupava,,1948.0,,,1.0,3.0,,18.2,13.3,,,Uspokojivý,17.031948416,48.274517135,180.40325,Slovenská správa ciest - IVSC Bratislava,Štát,3.0,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,111.0,426576.0,4422A27300,4422A27400,20.0,10,67.148,67150.0
cesta I. triedy,2,30,M2550,02_030 Most cez potok v k.ú. obce Stupava,,1961.0,,,1.0,4.0,,9.65,8.55,,,Dobrý,17.030527629,48.255456029,167.4535,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,126.0,429530.0,4422A31900,4422A32000,155.0,110,69.173,69307.0
cesta I. triedy,2,31,M2259,,,1961.0,,,1.0,4.35,,10.64,10.45,,,Uspokojivý,17.034100573,48.24924125,213.564499,Magistrát hl. m. SR Bratislavy,Bratislava,4.35,dosková,prefabrikovaný železobetón,31.8,88.2,156.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,1.0,132.0,486152.0,4422A06003,4422A02600,519.0,14,69.953,70087.0
cesta I. triedy,2,32,M3446,,,1961.0,,,1.0,3.22,,11.22,11.22,,,Zlý,17.034921066,48.241369836,215.326,Magistrát hl. m. SR Bratislavy,Bratislava,3.22,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,1.0,135.0,460524.0,4422A33200,4422A33300,125.0,334,70.833,70967.0
cesta I. triedy,2,33,M7099,,,1946.0,,,1.0,31.0,,14.0,10.0,,,Zlý,17.047198389,48.189058513,258.09325,Magistrát hl. m. SR Bratislavy,Bratislava,31.0,klenbová,monolitický železobetón,43.2,86.4,195.7,projektovaná,Železnica,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,3.0,9.0,460763.0,4422A45000,4422A45100,87.0,16,76.532,76729.0
cesta I. triedy,2,116 3,M7373,Pracovný názov: Most nad privádzačom D2 Lamač BA,,1000.0,,,0.0,,,,,,,Nezistený,17.061246226,48.178880585,0.0,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná diaľničná spoločnosť, a.s.",999.0,,,0.0,0.0,0.0,,,1.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,5.0,2.0,510953.0,4422A05921,4422A05914,419.0,146,78.109,78306.0
cesta I. triedy,2,34,M6538,,,1978.0,,,1.0,4.06,,35.5,20.0,,,Dobrý,17.072509059,48.171003006,218.180999,Magistrát hl. m. SR Bratislavy,Bratislava,4.06,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,0.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,7.0,2.0,526578.0,4422A50001,4422A50002,39.0,1,79.349,79546.0
cesta I. triedy,2,35,M4156,,,1979.0,,,1.0,6.9,,11.0,11.0,,,Uspokojivý,17.076409559,48.168776802,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,6.9,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,2.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,9.0,1.0,505751.0,4424A00105,4422A05700,350.0,224,79.754,79951.0
cesta I. triedy,2,122A,M6998,Pracovný názov: 02_122A Zjazd z mosta Lafranconi BA,,1000.0,,,0.0,,,,,,,Nezistený,17.076067394,48.148751341,158.45875,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná diaľničná spoločnosť, a.s.",999.0,,,0.0,0.0,0.0,,,998.0,vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,10.0,6.0,8817.0,4424A00409,4424A00413,276.0,0,,82352.0
cesta I. triedy,2,040 1,M1920,,,1989.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,17.103763044,48.130647403,184.601999,Magistrát hl. m. SR Bratislavy,Bratislava,6.76,trámová,prefabrikovaný železobetón,37.0,81.0,312.0,projektovaná,Miestna komunikácia,998.0,vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,36.0,7580.0,4424A05518,4424A05505,118.0,51,,51.0
cesta I. triedy,2,040 2,M2301,,,1990.0,,,1.0,6.76,,9.0,9.0,,,Dobrý,17.106123715,48.132621202,182.698999,Magistrát hl. m. SR Bratislavy,Bratislava,6.76,trámová,prefabrikovaný železobetón,37.0,78.0,317.0,projektovaná,Miestna komunikácia,998.0,vetva,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,43.0,7572.0,4424A05516,4424A05515,57.0,33,,33.0
cesta I. triedy,2,001C,M3973,,,1986.0,,,14.0,465.99,,9.0,9.0,,,Zlý,17.131347012,48.130576842,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,465.99,trámová,prefabrikovaný predpätý betón,27.0,57.0,95.0,porovnávací výpočet,"Cestná komunikácia,  Cestná komunikácia",1.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,47.0,9451.0,4424A00503,4424A00510,471.0,338,85.045,85242.0
cesta I. triedy,2,13,M3988,Most na výstupnej vetve pravobrež.križovatky Prístavného mosta,,1983.0,,,7.0,231.07,,9.0,9.0,,,Bezchybný,17.134619356,48.131135978,0.0,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava","Národná diaľničná spoločnosť, a.s.",231.07,trámová,monolitický predpätý betón,27.0,68.0,222.0,projektovaná,"Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia,  Účelová komunikácia",1.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,13.0,48.0,8610.0,4424A00510,4424A00513,437.0,0,85.615,85812.0
cesta I. triedy,2,47,M6994,,,1985.0,,,1.0,5.61,,12.0,10.2,,,Zlý,17.130055519,48.12925187,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,trámová,prefabrikovaný železobetón,28.0,57.0,57.0,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",1.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,1.0,9443.0,4424A00505,4424A02801,19.0,99,,86296.0
cesta I. triedy,2,48,M7229,,,1985.0,,,4.0,108.95,,11.5,10.5,,,Dobrý,17.129935117,48.127563995,184.274749,Magistrát hl. m. SR Bratislavy,Bratislava,108.95,trámová,prefabrikovaný predpätý betón,32.0,129.0,266.0,porovnávací výpočet,Miestna komunikácia,1.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,2.0,7598.0,4424A02801,4424A02802,325.0,131,88.012,86384.0
cesta I. triedy,2,50,M1841,,,1985.0,,,4.0,107.96,,11.5,10.5,,,Dobrý,17.128560492,48.112056877,186.91375,Magistrát hl. m. SR Bratislavy,Bratislava,107.96,trámová,prefabrikovaný predpätý betón,31.0,124.0,251.0,porovnávací výpočet,Miestna komunikácia,1.0,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,15.0,19.0,7226.0,4424A02401,4424A02402,618.0,318,89.965,88337.0
cesta I. triedy,2,49,M5333,,,1985.0,,,1.0,5.61,,10.2,10.2,,,Veľmi zlý,17.131040629,48.125990691,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,rámová,monolitický železobetón,41.0,82.0,336.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",2.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,16.0,5.0,52450.0,4424A52304,4424A02809,290.0,224,,86667.0
cesta I. triedy,2,51,M7651,,,1985.0,,,1.0,4.38,,21.5,21.5,,,Dobrý,17.126073674,48.109148631,180.87175,Magistrát hl. m. SR Bratislavy,Bratislava,4.38,trámová,prefabrikovaný železobetón,53.0,89.0,428.0,,Miestna komunikácia,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,1.0,433880.0,4424A02405,4424A17800,1079.0,73,90.386,88758.0
cesta I. triedy,2,52,M626,,,1983.0,,,1.0,37.99,,21.5,20.5,,,Uspokojivý,17.121223223,48.100213801,181.89625,Magistrát hl. m. SR Bratislavy,Bratislava,37.99,trámová,prefabrikovaný predpätý betón,37.0,166.0,270.0,porovnávací výpočet,Kanál,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,2.0,425467.0,4424A17800,4424A02201,187.0,49,91.441,89813.0
cesta I. triedy,2,53,M4655,,,1984.0,,,3.0,41.66,,22.5,22.5,,,Dobrý,17.121154224,48.099330476,183.316,Magistrát hl. m. SR Bratislavy,Bratislava,41.66,dosková,prefabrikovaný predpätý betón,19.0,42.0,100.0,porovnávací výpočet,Miestna komunikácia,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,2.0,425467.0,4424A17800,4424A02201,187.0,145,91.537,89909.0
cesta I. triedy,2,54,M7468,,,1986.0,,,1.0,5.61,,23.9,10.4,,,Veľmi zlý,17.120931869,48.096426792,179.405499,Magistrát hl. m. SR Bratislavy,Bratislava,5.61,trámová,prefabrikovaný železobetón,29.0,60.0,0.0,podľa tabuliek,Miestna komunikácia,0.0,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava V,17.0,16.0,7616.0,4424A02202,4424A18800,199.0,164,91.876,90248.0
cesta I. triedy,11,200,M6499,Most cez bezmenný potok vo Svrčinovci,,1953.0,,,1.0,5.0,,12.0,12.0,,,Uspokojivý,18.781324783,49.491615851,451.880999,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca","Národná diaľničná spoločnosť, a.s.",5.0,dosková,monolitický železobetón,12.0,29.0,187.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,NDS,NDS,NDS - SSUR CA,Žilinský kraj,Čadca,0.0,1.0,194662.0,2613A37200,2613B00300,1095.0,288,406.779,1204.0
cesta I. triedy,11,202,M2061,11_202 Most cez rieku Čerňanka v k.ú. obce Svrčinovec,,1931.0,,,1.0,32.0,,6.5,6.5,,,Veľmi dobrý,18.794048493,49.479899075,430.79575,Slovenská správa ciest - IVSC Žilina,Štát,32.0,oblúková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,0.0,6.0,194666.0,2613A37600,2613A37700,105.0,57,408.465,2827.0
cesta I. triedy,11,203,M3917,"11_203 Most cez potok Čadečka, Čadca, osada Podzávod",,1951.0,,,1.0,13.4,,11.0,9.0,,,Uspokojivý,18.783305904,49.455058609,428.566999,Slovenská správa ciest - IVSC Žilina,Štát,13.4,trámová,monolitický železobetón,37.0,58.0,134.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,0.0,21.0,194286.0,2613A16300,2613A16400,301.0,169,411.495,5838.0
cesta I. triedy,11,204,M5720,11_204 Most cez železnicu v Čadci,,1949.0,,,4.0,43.6,,8.0,6.0,,,Uspokojivý,18.781299568,49.451919144,430.3745,Slovenská správa ciest - IVSC Žilina,Štát,43.6,trámová,monolitický železobetón,13.0,22.0,113.0,odhadom,Železnica,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,0.0,26.0,194212.0,2613A08900,2613A00600,86.0,24,411.883,6238.0
cesta I. triedy,11,206,M331,11-206 Most cez rieku Kysuca v meste Čadca,,1969.0,,,3.0,52.4,,14.5,10.5,,,Zlý,18.789767168,49.440266018,415.303249,Slovenská správa ciest - IVSC Žilina,Štát,52.4,dosková,monolitický železobetón,24.0,67.0,236.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,2.0,2.0,8694.0,2613A03900,2613A34600,60.0,4,413.437,7794.0
cesta I. triedy,11,208,M3289,11_208 Most cez rieku Kysuca a železnicu v Čadci,,1970.0,,,13.0,292.1,,13.0,10.5,,,Veľmi zlý,18.795975495,49.429738037,422.508499,Slovenská správa ciest - IVSC Žilina,Štát,292.1,trámová,prefabrikovaný predpätý betón,16.0,45.0,122.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,3.0,0.0,194635.0,2613A35501,2613A35600,638.0,98,414.624,8850.0
cesta I. triedy,11,209,M2532,11_209 Most nad MK v meste Čadca,,1970.0,,,1.0,6.0,,12.71,10.5,,,Veľmi dobrý,18.799520991,49.428672502,412.9725,Slovenská správa ciest - IVSC Žilina,Štát,6.0,dosková,prefabrikovaný železobetón,30.0,76.0,239.0,projektovaná,Miestna komunikácia,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,3.0,0.0,194635.0,2613A35501,2613A35600,638.0,532,415.058,9284.0
